"filename", "language", "JSON", "YAML", "Docker", "Ignore", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\.eslintrc.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\.lintstagedrc.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\.prettierignore", "Ignore", 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\.prettierrc.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\.travis.yml", "YAML", 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\Dockerfile", "Docker", 0, 0, 8, 0, 0, 0, 0, 8, 16
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\README.md", "Markdown", 0, 0, 0, 0, 0, 311, 0, 131, 442
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\docker-compose.dev.yml", "YAML", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\docker-compose.prod.yml", "YAML", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\docker-compose.test.yml", "YAML", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\docker-compose.yml", "YAML", 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\ecosystem.config.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\jest.config.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\package.json", "JSON", 95, 0, 0, 0, 0, 0, 0, 1, 96
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\app.js", "JavaScript", 0, 0, 0, 0, 40, 0, 12, 16, 68
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\config\config.js", "JavaScript", 0, 0, 0, 0, 59, 0, 0, 6, 65
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\config\logger.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\config\morgan.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\config\passport.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\config\roles.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\config\tokens.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\controllers\auth.controller.js", "JavaScript", 0, 0, 0, 0, 50, 0, 0, 10, 60
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\controllers\index.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\controllers\user.controller.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 7, 44
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\nodeback\src\docs\components.yml", "YAML", 0, 87, 0, 0, 0, 0, 0, 6, 93
